                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.94379,                0.45039,                0.83792,                 0.9773,                0.98387,                0.98805,                0.79116,                0.78799,                0.41402,                0.84765,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.0166,                0.46362,                0.85409,                0.96592,                0.98387,                0.98748,                0.80609,                0.79441,                0.41259,                0.85159,              0.0007328,              0.0007328,              0.0007328
                    131,                0.94895,                0.46184,                0.85438,                0.98377,                0.97779,                 0.9874,                0.78245,                0.83665,                0.42214,                0.85813,              0.0007229,              0.0007229,              0.0007229
                    132,                0.95296,                0.44483,                0.84338,                0.99587,                0.93548,                 0.9862,                0.75045,                0.98522,                0.43511,                0.88278,               0.000713,               0.000713,               0.000713
                    133,                0.98944,                0.46065,                0.84518,                 0.9972,                0.93548,                0.98559,                0.75873,                 0.9343,                 0.4342,                0.87444,              0.0007031,              0.0007031,              0.0007031
                    134,                 0.9913,                 0.4681,                0.84507,                      1,                0.93528,                0.98347,                0.76714,                 0.8738,                0.43177,                0.86833,              0.0006932,              0.0006932,              0.0006932
                    135,                0.98965,                 0.4573,                0.85055,                      1,                0.93495,                0.98482,                0.75719,                0.87783,                0.42767,                0.86863,              0.0006833,              0.0006833,              0.0006833
                    136,                0.94247,                0.44659,                0.83483,                0.98327,                0.94796,                  0.985,                0.74763,                0.92032,                0.43023,                 0.8716,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.0034,                0.45696,                0.85334,                0.99616,                0.93548,                0.98398,                0.75515,                0.88765,                0.41257,                0.86663,              0.0006635,              0.0006635,              0.0006635
                    138,                0.94162,                0.44226,                0.83708,                0.99252,                0.93548,                0.97203,                0.78459,                0.77716,                0.39436,                0.85124,              0.0006536,              0.0006536,              0.0006536
                    139,                0.96307,                0.44678,                0.85342,                0.99145,                0.93548,                0.97927,                0.79688,                0.77611,                0.39899,                0.85244,              0.0006437,              0.0006437,              0.0006437
